"filename", "language", "Java", "XML", "Markdown", "HTML", "JSON", "Java Properties", "comment", "blank", "total"
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\NodeDistance.class", "Java", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\NodeHandling$NoNodeFoundException.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\NodeHandling.class", "Java", 59, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\OpenHtmlInBrowser.class", "Java", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\ShortestPath$NoPathFoundException.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\ShortestPath.class", "Java", 75, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\UML.md", "Markdown", 0, 0, 34, 0, 0, 0, 0, 8, 42
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\Url.class", "Java", 32, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\User.class", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\polan\CodingBros\auebpath\target\classes\com\auebproject\UserDAO.class", "Java", 60, 0, 0, 0, 0, 0, 0, 0, 60
"c:\Users\polan\CodingBros\auebpath\target\classes\data\athens_transport_data.geojson", "JSON", 0, 0, 0, 0, 2524714, 0, 0, 0, 2524714
"c:\Users\polan\CodingBros\auebpath\target\classes\data\athens_transport_data3.geojson", "JSON", 0, 0, 0, 0, 4632891, 0, 0, 0, 4632891
"c:\Users\polan\CodingBros\auebpath\target\classes\data\exported_data.geojson", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\polan\CodingBros\auebpath\target\classes\web\MapViewer.html", "HTML", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\polan\CodingBros\auebpath\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, 0, 3, 0, 1, 4
"Total", "-", 2166, 49, 68, 44, 14315212, 3, 127, 360, 14318029
